Operacja;Cmax;T;P
61200;12100;4.68841;1.33114e-13
61300;12100;4.66503;1.36447e-06
61400;12083;4.64176;1.60372e-09
61500;12078;4.61861;8.02207e-12
61600;12081;4.59557;8.94993e-07
61700;12080;4.57265;1.15139e-05
61800;12076;4.54984;1.55205
61900;12064;4.52715;4.8206e-05
62000;12056;4.50457;3.47056e-07
62100;12085;4.4821;0.000106487
62200;12084;4.45975;1
62300;12067;4.43751;0.63718
62400;12071;4.41537;3.47641e-15
62500;12064;4.39335;0.0166208
62600;12064;4.37144;9.52505e-13
62700;12064;4.34963;5.10683e-06
62800;12069;4.32794;9.01425e-14
62900;12072;4.30635;5.5888e-07
63000;12071;4.28488;0.00743944
63100;12067;4.2635;2.19594e-09
63200;12067;4.24224;5.78911e-11
63300;12066;4.22108;1.79722e-09
63400;12066;4.20003;1.3806e-05
63500;12076;4.17908;1.75844e-07
63600;12068;4.15823;2.82719e-11
63700;12069;4.1375;6.58174e-11
63800;12074;4.11686;8.63769e-06
63900;12071;4.09633;1
64000;12045;4.07589;1.40685e-14
64100;12041;4.05557;1
64200;12049;4.03534;1.20433e-06
64300;12040;4.01521;7.23238e-12
64400;12046;3.99518;6.05031e-11
64500;12043;3.97526;3.00987e-09
64600;12038;3.95543;2.51392e-06
64700;12037;3.9357;4.04319e-08
64800;12032;3.91607;8.02161e-09
64900;12034;3.89654;7.15083e-12
65000;12037;3.87711;6.52769e-10
65100;12031;3.85777;1.51166e-12
65200;12035;3.83853;1
65300;12035;3.81938;3.67609e-05
65400;12057;3.80033;5.53618e-06
65500;12038;3.78138;1.8426e-16
65600;12030;3.76252;0.0411985
65700;12036;3.74375;0.000564749
65800;12036;3.72508;1.18061e-08
65900;12033;3.7065;0.00264385
66000;12033;3.68801;2.88188e-12
66100;12033;3.66962;0.0127768
66200;12040;3.65132;9.60342e-08
66300;12038;3.6331;9.09486e-11
66400;12036;3.61498;3.56028e-08
66500;12036;3.59695;3.6874e-06
66600;12050;3.57901;1.60211e-07
66700;12086;3.56116;1
66800;12084;3.5434;2.07691e-10
66900;12071;3.52573;6.60507e-14
67000;12071;3.50814;2.74665e-07
67100;12039;3.49064;4.56472e-08
67200;12031;3.47323;1.32672e-07
67300;12031;3.45591;8.73555e-12
67400;12019;3.43867;4.7484e-20
67500;12033;3.42152;4.91105e-21
67600;12031;3.40446;7.6066e-13
67700;12035;3.38748;6.23483e-09
67800;12026;3.37058;3.92698e-10
67900;12005;3.35377;9.8396e-12
68000;12005;3.33704;1.16936e-11
68100;12005;3.3204;6.85465e-13
68200;12007;3.30384;6.70847e-12
68300;11997;3.28736;8.73504e-09
68400;11997;3.27096;1.75961e-11
68500;11997;3.25465;2.9047e-05
68600;11997;3.23842;7.398e-12
68700;11997;3.22226;0.0241351
68800;11997;3.20619;1.41833e-16
68900;11983;3.1902;6.09403e-08
69000;11982;3.17429;3.29148e-09
69100;11982;3.15846;2.7377e-08
69200;11983;3.1427;3.9395e-14
69300;11983;3.12703;3.16419e-08
69400;11982;3.11143;2.59922e-12
69500;11982;3.09591;8.54838e-05
69600;11982;3.08047;3.37208e-08
69700;11977;3.06511;0.0143891
69800;11975;3.04982;7.58579e-08
69900;11975;3.03461;3.65993e-05
70000;11963;3.01947;9.10104e-07
70100;11967;3.00441;0.00946826
70200;11967;2.98943;7.61097e-08
70300;11961;2.97452;3.07357e-11
70400;11962;2.95968;2.06714e-10
70500;11981;2.94492;2.33308e-16
70600;11981;2.93023;2.13189e-11
70700;11982;2.91562;1
70800;11982;2.90108;9.20544e-08
70900;11982;2.88661;6.11403e-22
71000;11966;2.87221;2.75241e-08
71100;11957;2.85788;2.30432e-11
71200;11952;2.84363;1.69568e-21
71300;11951;2.82945;0.000145454
71400;11943;2.81533;7.44242e-20
71500;11943;2.80129;3.25143e-14
71600;11943;2.78732;1
71700;11939;2.77342;4.02247e-10
71800;11942;2.75959;3.52821e-07
71900;11942;2.74582;0.000686575
72000;11937;2.73213;0.000220778
72100;11937;2.7185;4.07184e-07
72200;11932;2.70494;1.24765e-07
72300;11933;2.69145;1.77954e-18
72400;11935;2.67803;7.78464e-15
72500;11935;2.66467;1.06588e-16
72600;11935;2.65138;4.60708e-10
72700;11934;2.63815;1.01683e-14
72800;11932;2.625;6.1138e-17
72900;11932;2.6119;7.63941e-22
73000;11932;2.59888;0.00211964
73100;11929;2.58591;1
73200;11929;2.57302;7.03487e-13
73300;11942;2.56018;1.33539e-12
73400;11942;2.54741;0.000177558
73500;11932;2.53471;4.44713e-38
73600;11932;2.52207;0.000162797
73700;11932;2.50949;3.62405e-17
